Date,CNRG,CRBN,ERTH,ICLN,SPYX
2012-05-01,,,16.826025009155273,5.5943732261657715,
2012-06-01,,,17.051986694335938,5.729273319244385,
2012-07-01,,,16.622652053833008,5.112460136413574,
2012-08-01,,,17.18378448486328,5.444648265838623,
2012-09-01,,,17.622934341430664,5.549976348876953,
2012-10-01,,,17.441518783569336,5.274502277374268,
2012-11-01,,,17.962642669677734,5.387932777404785,
2012-12-01,,,18.825767517089844,5.809245586395264,
2013-01-01,,,19.985994338989258,6.034523963928223,
2013-02-01,,,20.39370346069336,6.009791851043701,
2013-03-01,,,20.858501434326172,6.06749963760376,
2013-04-01,,,20.654640197753906,7.007302284240723,
2013-05-01,,,21.46190643310547,7.419496536254883,
2013-06-01,,,20.646482467651367,7.2051568031311035,
2013-07-01,,,22.33043098449707,7.773385524749756,
2013-08-01,,,21.936071395874023,7.431423664093018,
2013-09-01,,,23.79283332824707,8.540717124938965,
2013-10-01,,,24.78271484375,8.83263874053955,
2013-11-01,,,25.350065231323242,8.82429313659668,
2013-12-01,,,26.12299156188965,8.707528114318848,
2014-01-01,,,25.18166732788086,8.737832069396973,
2014-02-01,,,27.035076141357422,9.43010425567627,
2014-03-01,,,26.87856674194336,9.45543098449707,
2014-04-01,,,26.252519607543945,9.033313751220703,
2014-05-01,,,26.76323890686035,9.404777526855469,
2014-06-01,,,27.07625961303711,10.012624740600586,
2014-07-01,,,25.343700408935547,9.525968551635742,
2014-08-01,,,26.072532653808594,10.028231620788574,
2014-09-01,,,24.283567428588867,9.253554344177246,
2014-10-01,,,24.107276916503906,8.896012306213379,
2014-11-01,,,24.563386917114258,8.708727836608887,
2014-12-01,,,24.007762908935547,8.240517616271973,
2015-01-01,,81.26344299316406,23.21272850036621,8.650951385498047,
2015-02-01,,85.69538116455078,25.40370750427246,9.474437713623047,
2015-03-01,,84.5826187133789,24.955549240112305,10.280587196350098,
2015-04-01,,88.0291976928711,25.337312698364258,10.826690673828125,
2015-05-01,,87.30381774902344,25.876758575439453,10.531970977783203,
2015-06-01,,84.5912857055664,25.262619018554688,9.63913631439209,
2015-07-01,,86.1834945678711,24.9548397064209,9.223016738891602,
2015-08-01,,80.77735137939453,23.245037078857422,8.291932106018066,
2015-09-01,,77.19949340820312,22.010631561279297,7.958146572113037,
2015-10-01,,83.67286682128906,24.419038772583008,8.608148574829102,
2015-11-01,,83.2354965209961,24.845243453979492,8.274362564086914,
2015-12-01,,81.38094329833984,24.569467544555664,8.643284797668457,44.56105041503906
2016-01-01,,76.43367004394531,22.48806381225586,7.701107501983643,42.135528564453125
2016-02-01,,76.23218536376953,23.349451065063477,7.4444050788879395,42.234710693359375
2016-03-01,,81.82440948486328,25.206031799316406,8.267626762390137,44.66383361816406
2016-04-01,,82.72139739990234,25.155853271484375,8.143701553344727,44.77747344970703
2016-05-01,,83.13233184814453,25.724538803100586,7.718811511993408,45.54581832885742
2016-06-01,,81.205810546875,24.78788185119629,7.771922588348389,44.85811233520508
2016-07-01,,85.82192993164062,26.324636459350586,8.206351280212402,47.526302337646484
2016-08-01,,86.21781158447266,27.17273712158203,8.28750991821289,47.607330322265625
2016-09-01,,87.06687927246094,27.81930923461914,8.260458946228027,47.429805755615234
2016-10-01,,85.24871063232422,26.573583602905273,7.989919185638428,46.883262634277344
2016-11-01,,85.82192993164062,27.322731018066406,7.250446319580078,48.44193649291992
2016-12-01,,86.61009216308594,27.516326904296875,7.10615873336792,48.96422576904297
2017-01-01,,90.31676483154297,28.65372085571289,7.578572750091553,50.296791076660156
2017-02-01,,93.03530883789062,29.2878360748291,7.909274578094482,52.48601531982422
2017-03-01,,94.62428283691406,30.05723762512207,7.863343238830566,52.5044059753418
2017-04-01,,95.79997253417969,31.45229721069336,7.789853096008301,53.310909271240234
2017-05-01,,97.7805404663086,32.57680892944336,7.982761859893799,54.08665084838867
2017-06-01,,97.4459228515625,32.58525466918945,7.863343238830566,54.30182647705078
2017-07-01,,100.98336791992188,33.59518814086914,8.435688018798828,55.65058898925781
2017-08-01,,101.11134338378906,33.902225494384766,8.529107093811035,55.86396408081055
2017-09-01,,102.75660705566406,35.232730865478516,8.388978004455566,56.517948150634766
2017-10-01,,104.74921417236328,36.74934768676758,8.697257995605469,58.20726776123047
2017-11-01,,106.39450073242188,35.93876647949219,8.323586463928223,59.934112548828125
2017-12-01,,106.86066436767578,36.066749572753906,8.706602096557617,60.38795471191406
2018-01-01,,114.34432983398438,38.119590759277344,9.028349876403809,64.13289642333984
2018-02-01,,109.39289093017578,36.66001510620117,8.830233573913574,61.932071685791016
2018-03-01,,107.9056396484375,36.66001510620117,8.981179237365723,60.30720901489258
2018-04-01,,107.97954559326172,36.1990966796875,9.292502403259277,60.44613265991211
2018-05-01,,108.41371154785156,37.28310775756836,9.160425186157227,61.75081253051758
2018-06-01,,106.58189392089844,35.951568603515625,8.235893249511719,61.86830139160156
2018-07-01,,110.70306396484375,37.34175491333008,8.712981224060059,64.42998504638672
2018-08-01,,111.6744613647461,38.045021057128906,8.339978218078613,66.63867950439453
2018-09-01,,112.07610321044922,37.34175491333008,8.225208282470703,66.66795349121094
2018-10-01,,103.63233947753906,33.413753509521484,7.756561756134033,62.47883605957031
2018-11-01,29.736595153808594,105.182861328125,34.88889694213867,8.598210334777832,63.55699920654297
2018-12-01,27.336336135864258,96.22535705566406,31.56123924255371,7.900024890899658,57.785980224609375
2019-01-01,31.621360778808594,106.20950317382812,34.89594268798828,9.189270973205566,62.71405029296875
