Date,MVEE.SW,RAFE,RSPE
2019-12-30,,,
2020-01-01,,23.346799850463867,
2020-02-01,,20.936153411865234,
2020-03-01,,17.881135940551758,
2020-04-01,,20.017263412475586,
2020-05-01,5.273600101470947,20.588003158569336,
2020-06-01,5.391499996185303,20.609193801879883,
2020-07-01,5.811999797821045,21.070449829101562,
2020-08-01,5.894000053405762,22.33760643005371,
2020-09-01,5.872000217437744,21.874496459960938,
2020-10-01,5.552000045776367,21.145931243896484,
2020-11-01,6.160999774932861,24.26979637145996,
2020-12-01,6.270999908447266,25.169612884521484,
2020-12-30,,,
2021-01-01,6.184000015258789,25.41356658935547,
2021-02-01,6.223999977111816,26.766815185546875,
2021-03-01,6.646999835968018,28.6358642578125,
2021-04-01,6.738999843597412,29.499784469604492,
2021-05-01,6.927999973297119,30.520526885986328,
2021-06-01,7.11899995803833,30.25297737121582,
2021-07-01,7.184999942779541,30.435932159423828,
2021-08-01,7.440999984741211,31.15525245666504,
2021-09-01,7.09499979019165,30.028886795043945,
2021-10-01,7.248000144958496,31.525442123413086,
2021-11-01,7.093999862670898,31.159095764160156,
2021-12-01,7.418000221252441,32.81574630737305,25.00962257385254
2021-12-20,,,
2021-12-30,,,
2022-01-01,7.058000087738037,32.086360931396484,23.977142333984375
2022-02-01,6.7789998054504395,30.977293014526367,23.54994010925293
2022-03-01,6.863999843597412,31.493000030517578,24.075727462768555
2022-03-21,,,
2022-04-01,6.843999862670898,30.086252212524414,23.25
2022-04-19,6.940999984741211,,
2022-04-26,,30.18000030517578,23.200000762939453
