Date,DIA,IVV,IWM,QQQ,SPY,VTI
2017-11-20,214.26358032226562,239.48902893066406,141.5841522216797,149.21961975097656,239.0330047607422,123.15593719482422
2017-11-21,215.7093963623047,241.04547119140625,143.06124877929688,150.83956909179688,240.5969696044922,124.00789642333984
2017-11-22,215.19700622558594,240.87049865722656,142.87185668945312,151.0238800048828,240.38412475585938,123.91535949707031
2017-11-24,215.4715118408203,241.37701416015625,142.9286651611328,151.57679748535156,240.93936157226562,124.20246124267578
2017-11-27,215.7093963623047,241.30335998535156,142.4931182861328,151.50889587402344,240.81906127929688,124.07278442382812
2017-11-28,218.09776306152344,243.73468017578125,144.73716735839844,151.8968963623047,243.2621307373047,125.30453491210938
2017-11-29,219.08604431152344,243.5781707763672,145.2200469970703,149.24871826171875,243.1140594482422,125.30453491210938
2017-11-30,222.21554565429688,245.7976837158203,145.4851531982422,150.5000457763672,245.24253845214844,126.2677001953125
2017-12-01,221.85873413085938,245.21746826171875,144.888671875,149.85984802246094,244.73355102539062,126.01766967773438
2017-12-04,222.462646484375,244.9595947265625,144.34896850585938,148.13319396972656,244.43739318847656,125.85093688964844
2017-12-05,221.45606994628906,244.04783630371094,142.90975952148438,148.23023986816406,243.55824279785156,125.31377410888672
2017-12-06,221.0991668701172,244.1030731201172,142.23745727539062,148.89952087402344,243.6045379638672,125.23967742919922
2017-12-07,221.77635192871094,244.83990478515625,143.23167419433594,149.40391540527344,244.37266540527344,125.73980712890625
2017-12-08,222.92926025390625,246.1752471923828,143.36424255371094,150.0635528564453,245.70523071289062,126.39737701416016
2017-12-11,223.43260192871094,247.02256774902344,143.30743408203125,151.2275848388672,246.44549560546875,126.69373321533203
2017-12-12,224.59475708007812,247.40023803710938,142.86239624023438,151.0238800048828,246.8804931640625,126.83264923095703
2017-12-13,225.3817138671875,247.34490966796875,143.71458435058594,151.31488037109375,246.85275268554688,126.85116577148438
2017-12-14,224.71372985839844,246.38706970214844,142.12387084960938,151.2082061767578,245.8440399169922,126.25843811035156
2017-12-15,225.85189819335938,248.4684600830078,144.15016174316406,152.92515563964844,247.8912811279297,127.38832092285156
2017-12-18,227.2643585205078,250.0157012939453,146.1006622314453,154.207275390625,249.46319580078125,128.2681121826172
2017-12-19,226.90663146972656,249.02842712402344,144.9454803466797,153.29354858398438,248.5051727294922,127.74947357177734
2017-12-20,226.6039276123047,248.8988494873047,145.2295379638672,153.12832641601562,248.375,127.740234375
2017-12-21,227.14512634277344,249.39852905273438,145.8654327392578,153.14773559570312,248.88653564453125,128.03155517578125
2017-12-22,226.90663146972656,249.33375549316406,145.59930419921875,152.9727783203125,248.82139587402344,127.98503112792969
2017-12-26,226.76901245117188,249.0191192626953,145.68478393554688,152.14651489257812,248.52374267578125,127.88263702392578
2017-12-27,226.97999572753906,249.17637634277344,145.542236328125,152.16595458984375,248.6446533203125,127.92919158935547
2017-12-28,227.57611083984375,249.6390838623047,146.11253356933594,152.3506317138672,249.1562042236328,128.2083740234375
2017-12-29,226.8883514404297,248.7693328857422,144.90545654296875,151.40774536132812,248.21682739257812,127.73373413085938
2018-01-02,227.4752960205078,250.61996459960938,146.2740936279297,154.0614776611328,249.99339294433594,128.63645935058594
2018-01-03,228.32821655273438,252.07266235351562,146.4261474609375,155.55845642089844,251.57456970214844,129.38101196289062
2018-01-04,229.84164428710938,253.16453552246094,146.81582641601562,155.8306427001953,252.6349639892578,129.8742218017578
2018-01-05,231.7859649658203,254.76522827148438,147.1199951171875,157.39561462402344,254.31857299804688,130.63735961914062
2018-01-08,231.666748046875,255.3297576904297,147.34808349609375,158.0080108642578,254.7836456298828,130.93521118164062
2018-01-09,232.79490661621094,255.9127197265625,147.14849853515625,158.0177459716797,255.3603515625,131.1771697998047
2018-01-10,232.61141967773438,255.5055694580078,147.16749572753906,157.6483917236328,254.9696044921875,130.97244262695312
2018-01-11,234.43661499023438,257.31915283203125,149.6957244873047,158.7273406982422,256.8299560546875,132.07989501953125
2018-01-12,236.54605102539062,259.0032043457031,150.322998046875,159.89382934570312,258.504150390625,132.8523406982422
2018-01-16,236.45431518554688,258.0687255859375,148.40310668945312,159.4369354248047,257.6205139160156,132.2660369873047
2018-01-17,239.45346069335938,260.64105224609375,149.80975341796875,161.15750122070312,260.0760803222656,133.4852294921875
2018-01-18,238.6096954345703,260.2524108886719,148.78326416015625,161.18666076660156,259.63897705078125,133.2525634765625
2018-01-19,239.09054565429688,261.3905029296875,150.74119567871094,161.69210815429688,260.8201904296875,133.94126892089844
2018-01-22,240.41200256347656,263.46319580078125,151.54908752441406,163.42239379882812,262.9409484863281,135.00221252441406
2018-01-23,240.31101989746094,264.0739440917969,152.03382873535156,164.7735137939453,263.4990234375,135.33724975585938
2018-01-24,240.9534149169922,263.93511962890625,151.09286499023438,163.70431518554688,263.396728515625,135.20697021484375
2018-01-25,242.0362548828125,264.0368957519531,151.14990234375,163.64596557617188,263.5083312988281,135.26280212402344
2018-01-26,244.01837158203125,267.09967041015625,151.69166564941406,166.1538543701172,266.5591125488281,136.67739868164062
2018-01-29,242.41250610351562,265.3323059082031,150.8362579345703,165.34707641601562,264.7918701171875,135.78396606445312
2018-01-30,239.16395568847656,262.46392822265625,149.3915557861328,163.98614501953125,262.0758361816406,134.36932373046875
2018-01-31,239.9163818359375,262.926513671875,148.61219787597656,164.6666259765625,262.2060852050781,134.4158935546875
2018-02-01,240.08157348632812,262.5933837890625,149.07791137695312,163.26687622070312,261.9084777832031,134.3600311279297
2018-02-02,233.9423370361328,256.80096435546875,146.20753479003906,160.0104522705078,256.20672607421875,131.5029296875
2018-02-05,223.2423553466797,246.1785125732422,140.59042358398438,153.7017822265625,245.49151611328125,126.32841491699219
2018-02-06,228.46385192871094,250.9993133544922,142.27272033691406,157.7747344970703,250.3282470703125,128.39450073242188
2018-02-07,228.2803497314453,249.45404052734375,142.415283203125,155.73342895507812,248.97023010253906,127.82679748535156
2018-02-08,219.02101135253906,240.2286834716797,138.23329162597656,149.1622772216797,239.6316375732422,123.22930908203125
2018-02-09,222.10440063476562,243.9762420654297,139.49737548828125,151.73826599121094,243.2312774658203,124.9230728149414
2018-02-12,225.90359497070312,247.22401428222656,140.81854248046875,154.43084716796875,246.80299377441406,126.58900451660156
2018-02-13,226.27064514160156,247.94581604003906,141.12266540527344,155.2279510498047,247.4169158935547,126.98918151855469
2018-02-14,228.77586364746094,251.360107421875,143.66036987304688,158.1343994140625,250.75613403320312,128.76675415039062
2018-02-15,231.7124481201172,254.4784698486328,145.2285919189453,161.07000732421875,253.955810546875,130.33958435058594
2018-02-16,231.80908203125,254.5432586669922,145.7418212890625,160.3507080078125,254.0301513671875,130.39540100097656
