Date,DSI,ICAN,NUEM,SHE,SUSA
2012-04-25,22.27001190185547,,,,26.197771072387695
2012-04-26,22.413522720336914,,,,26.422277450561523
2012-04-27,22.474407196044922,,,,26.37910270690918
2012-04-30,22.40047836303711,,,,26.31865882873535
2012-05-01,22.53963851928711,,,,26.5258846282959
2012-05-02,22.487451553344727,,,,26.392053604125977
2012-05-03,22.374380111694336,,,,26.21072006225586
2012-05-04,21.99604606628418,,,,25.77467918395996
2012-05-07,21.978656768798828,,,,25.757400512695312
2012-05-08,21.735118865966797,,,,25.610607147216797
2012-05-09,21.813390731811523,,,,25.476770401000977
2012-05-10,21.756858825683594,,,,25.51131248474121
2012-05-11,21.804697036743164,,,,25.420644760131836
2012-05-14,21.608999252319336,,,,25.204782485961914
2012-05-15,21.48288917541504,,,,25.040719985961914
2012-05-16,21.4350528717041,,,,24.90256690979004
2012-05-17,21.0741024017334,,,,24.466510772705078
2012-05-18,20.86101722717285,,,,24.224735260009766
2012-05-21,21.13933753967285,,,,24.64783477783203
2012-05-22,21.165428161621094,,,,24.708282470703125
2012-05-23,21.08279800415039,,,,24.470829010009766
2012-05-24,21.182817459106445,,,,24.475147247314453
2012-05-25,21.134984970092773,,,,24.639204025268555
2012-05-29,21.265445709228516,,,,24.842124938964844
2012-05-30,21.1436824798584,,,,24.514001846313477
2012-05-31,21.004518508911133,,,,24.449237823486328
2012-06-01,20.473976135253906,,,,23.77140998840332
2012-06-04,20.43484115600586,,,,23.6850643157959
2012-06-05,20.578346252441406,,,,23.92251968383789
2012-06-06,20.956687927246094,,,,24.367204666137695
2012-06-07,21.08279800415039,,,,24.56580924987793
2012-06-08,21.165428161621094,,,,24.535587310791016
2012-06-11,20.9827823638916,,,,24.33698272705078
2012-06-12,21.026268005371094,,,,24.32835578918457
2012-06-13,21.026268005371094,,,,24.315397262573242
2012-06-14,21.161083221435547,,,,24.449237823486328
2012-06-15,21.352428436279297,,,,24.6003475189209
2012-06-18,21.408964157104492,,,,24.61761474609375
2012-06-19,21.632488250732422,,,,24.939159393310547
2012-06-20,21.532073974609375,,,,24.843826293945312
2012-06-21,21.047466278076172,,,,24.267473220825195
2012-06-22,21.257030487060547,,,,24.41914176940918
2012-06-25,20.90776252746582,,,,24.003131866455078
2012-06-26,21.0081787109375,,,,24.154809951782227
2012-06-27,21.091129302978516,,,,24.254470825195312
2012-06-28,21.056201934814453,,,,24.068130493164062
2012-06-29,21.5277099609375,,,,24.731155395507812
2012-07-02,21.59319496154785,,,,24.830827713012695
2012-07-03,21.71544075012207,,,,25.030160903930664
2012-07-05,21.79401969909668,,,,25.01283073425293
2012-07-06,21.475313186645508,,,,24.635818481445312
2012-07-09,21.453493118286133,,,,24.670480728149414
2012-07-10,21.235200881958008,,,,24.432147979736328
2012-07-11,21.252662658691406,,,,24.341136932373047
2012-07-12,21.14788246154785,,,,24.39314842224121
2012-07-13,21.475313186645508,,,,24.64015007019043
2012-07-16,21.409828186035156,,,,24.64015007019043
2012-07-17,21.54517364501953,,,,24.783157348632812
2012-07-18,21.759098052978516,,,,24.978160858154297
2012-07-19,21.85077476501465,,,,25.116836547851562
2012-07-20,21.636856079101562,,,,24.774486541748047
2012-07-23,21.409828186035156,,,,24.553485870361328
2012-07-24,21.14352035522461,,,,24.293472290039062
2012-07-25,21.18280601501465,,,,24.310802459716797
2012-07-26,21.575729370117188,,,,24.71815299987793
2012-07-27,21.955556869506836,,,,25.1254940032959
2012-07-30,21.87697982788086,,,,25.060495376586914
2012-07-31,21.789655685424805,,,,24.926158905029297
2012-08-01,21.71544075012207,,,,24.83949089050293
2012-08-02,21.492788314819336,,,,24.562150955200195
2012-08-03,21.911893844604492,,,,25.030160903930664
2012-08-06,22.02977180480957,,,,25.207839965820312
2012-08-07,22.160747528076172,,,,25.3508358001709
2012-08-08,22.16511344909668,,,,25.39417839050293
2012-08-09,22.19130516052246,,,,25.407176971435547
2012-08-10,22.147647857666016,,,,25.424510955810547
2012-08-13,22.134553909301758,,,,25.37250518798828
2012-08-14,22.27425765991211,,,,25.485179901123047
2012-08-15,22.261165618896484,,,,25.48084831237793
2012-08-16,22.418331146240234,,,,25.68018341064453
2012-08-17,22.492549896240234,,,,25.71052360534668
2012-08-20,22.457622528076172,,,,25.71052360534668
2012-08-21,22.365943908691406,,,,25.632518768310547
2012-08-22,22.400859832763672,,,,25.593517303466797
2012-08-23,22.23933219909668,,,,25.433181762695312
2012-08-24,22.365943908691406,,,,25.56751251220703
2012-08-27,22.339744567871094,,,,25.56751251220703
2012-08-28,22.304826736450195,,,,25.57184410095215
2012-08-29,22.379032135009766,,,,25.532852172851562
2012-08-30,22.278627395629883,,,,25.437509536743164
2012-08-31,22.339744567871094,,,,25.463512420654297
2012-09-04,22.31354331970215,,,,25.52418327331543
2012-09-05,22.291723251342773,,,,25.45051383972168
2012-09-06,22.732667922973633,,,,25.909862518310547
2012-09-07,22.74576187133789,,,,26.031192779541016
2012-09-10,22.68463897705078,,,,26.005197525024414
2012-09-11,22.728296279907227,,,,26.01819610595703
2012-09-12,22.78942108154297,,,,26.07452964782715
2012-09-13,23.086299896240234,,,,26.447206497192383
2012-09-14,23.182342529296875,,,,26.503543853759766
2012-09-17,23.108125686645508,,,,26.429880142211914
2012-09-18,23.064468383789062,,,,26.364877700805664
2012-09-19,23.112485885620117,,,,26.434206008911133
2012-09-20,23.07756233215332,,,,26.364877700805664
2012-09-21,23.090662002563477,,,,26.39087677001953
2012-09-24,23.090662002563477,,,,26.334543228149414
