Date,ACES,ADIV,AMOM,AQWA,BMED,BTEC,CGW,CHIH,CLMA,CNRG,CTEX,DTOX,ERTH,ESMV,EUSC,EWJE,EWRE,FEDM,FRNW,FXH,GBLD,GXTG,HTEC,ICLN,IDHD,IDLV,IEIH,IHI,IMFL,JHMH,JPIN,KGRN,LVHI,MID,MXDU,NULG,PBE,PINK,PSCC,PTH,PUI,QCLN,RHS,RNRG,RODM,RYH,SDG,SHFT,SOLR,SPMV,STNC,TAN,UTRN,WNDY,WOOD,XBI,XHE,XLV
2017-05-01,,,,,,25.0166015625,30.118141174316406,,,,,,32.57680130004883,,26.514232635498047,,22.851200103759766,,,64.38999938964844,,,,7.98276424407959,22.65584373474121,27.215065002441406,,26.411407470703125,,26.563255310058594,47.84514236450195,,21.918746948242188,,,24.897815704345703,41.572715759277344,,63.373165130615234,54.470001220703125,25.143760681152344,16.93918228149414,116.41754913330078,10.035594940185547,23.521991729736328,162.62423706054688,49.94853591918945,,,,,17.986480712890625,,,55.51634216308594,67.23833465576172,57.24874496459961,69.88246154785156
2017-06-01,,,,,,28.23851203918457,29.98943519592285,,,,,,32.58525848388672,,25.830785751342773,,23.09800910949707,,,66.86000061035156,,,,7.863344192504883,22.05695343017578,27.215065002441406,,27.365694046020508,,27.779842376708984,47.819602966308594,,21.223033905029297,,,24.95469093322754,45.41080856323242,,61.959503173828125,61.97999954223633,24.484901428222656,17.560447692871094,112.83545684814453,10.449347496032715,23.41994857788086,169.6122589111328,50.59025573730469,,,,,19.327451705932617,,,56.33478546142578,76.64237976074219,60.78530502319336,72.78504180908203
2017-07-01,,,,,,28.504541397094727,30.75250244140625,,,,,,33.595184326171875,,26.30510711669922,,23.607383728027344,,,66.91000366210938,,,,8.435686111450195,22.87712287902832,28.125558853149414,,27.021291732788086,,27.90058708190918,48.790122985839844,,21.114473342895508,,,25.532182693481445,46.535545349121094,,64.00032043457031,62.040000915527344,25.247543334960938,18.431976318359375,114.5905990600586,10.890990257263184,24.304079055786133,169.98793029785156,51.22396469116211,,,,,21.027957916259766,,,57.93072509765625,77.74500274658203,59.99987030029297,73.67349243164062
2017-08-01,,,,,,29.775569915771484,30.761693954467773,,,,,,33.90222930908203,,26.203048706054688,,23.693138122558594,,,67.62000274658203,,,,8.529106140136719,23.02825927734375,28.23612403869629,,27.26610565185547,,28.180438995361328,48.92633819580078,,21.2459659576416,,,25.129688262939453,48.72392272949219,,63.39542007446289,65.72000122070312,26.046627044677734,18.227825164794922,112.27206420898438,10.78808307647705,24.426694869995117,171.16835021972656,51.99097442626953,,,22.506752014160156,,21.086257934570312,,,59.16745376586914,83.3742446899414,60.76274490356445,74.96456909179688
2017-09-01,,,,,,30.149982452392578,31.644277572631836,,,,,,35.23273849487305,,27.272472381591797,,23.33298110961914,,,67.41999816894531,,,,8.38897705078125,22.670305252075195,28.2191162109375,,27.44355583190918,,28.256677627563477,49.300926208496094,,21.284196853637695,,,25.845430374145508,49.89305877685547,,67.06214904785156,67.69000244140625,25.04103660583496,18.694459915161133,111.44465637207031,10.885896682739258,24.84884262084961,170.9439239501953,53.515777587890625,,,22.695741653442383,,21.03767204284668,,,62.096534729003906,86.0993423461914,62.20924377441406,75.37031555175781
2017-10-01,,,,,,29.583436965942383,32.29702377319336,,,,,,36.74934387207031,,27.780502319335938,,23.404695510864258,,,67.70999908447266,,,,8.697260856628418,22.97439193725586,28.491697311401367,,28.377994537353516,,28.12465476989746,50.52684783935547,,21.66888427734375,,23.409204483032227,26.713420867919922,46.585506439208984,,67.75834655761719,69.30000305175781,26.14436912536621,19.84844970703125,111.14502716064453,10.88156509399414,25.1361141204834,171.72552490234375,54.39368438720703,,,22.852947235107422,,23.301774978637695,,,64.73736572265625,83.22228240966797,63.56758499145508,75.07392120361328
2017-11-01,,,,,,29.80512809753418,33.20718765258789,,,,,,35.93876266479492,,27.56700897216797,,24.45686149597168,,,69.63999938964844,,,,8.32358455657959,23.2290096282959,28.928184509277344,,29.233352661132812,,28.877742767333984,51.16535949707031,22.59799575805664,21.81492805480957,,24.035818099975586,27.325908660888672,46.12584686279297,,70.42415618896484,71.55000305175781,26.91252899169922,19.809534072875977,119.07744598388672,10.702226638793945,25.43389320373535,176.1021728515625,53.950111389160156,,,23.74343490600586,,23.87508773803711,,,65.09070587158203,82.7745361328125,66.17328643798828,77.25830078125
2017-12-01,,,,,,30.98748207092285,32.67395782470703,,,,,,36.066749572753906,,27.66486167907715,,23.946300506591797,,,69.80000305175781,,,,8.706600189208984,23.237043380737305,28.808366775512695,,28.540842056274414,,28.952123641967773,51.1227912902832,23.266647338867188,21.66119384765625,,24.905593872070312,27.301410675048828,47.12510681152344,,69.95647430419922,72.06999969482422,25.150287628173828,19.75115203857422,122.18458557128906,11.017169952392578,25.578401565551758,175.4671630859375,54.6801643371582,,,23.92947006225586,,24.419246673583984,,,66.14144897460938,84.44615173339844,63.80537033081055,76.52708435058594
2018-01-01,,,,,,33.21261215209961,33.44435119628906,,,,,,38.119590759277344,,28.572193145751953,,23.571720123291016,,,74.13999938964844,,,,9.028349876403809,24.68613624572754,30.28225326538086,,31.502532958984375,,31.004531860351562,54.067848205566406,24.37309455871582,21.706026077270508,,26.235065460205078,29.217082977294922,52.091434478759766,,68.77835083007812,78.83999633789062,24.061857223510742,20.219417572021484,125.15565490722656,10.853403091430664,26.910764694213867,188.77676391601562,57.59196472167969,,,25.495820999145508,,24.787384033203125,,,71.38837432861328,92.94369506835938,69.427490234375,81.86971282958984
2018-02-01,,,,,,32.36282730102539,31.424222946166992,,,,,,36.66001892089844,,27.780502319335938,,22.01957130432129,,,71.37000274658203,,,,8.83023452758789,23.610769271850586,28.807188034057617,,30.26694679260254,,29.64952278137207,51.38968276977539,23.14984130859375,20.987483978271484,,25.80860137939453,28.882572174072266,51.13214111328125,,64.25592803955078,77.4000015258789,23.041820526123047,19.342430114746094,117.94009399414062,10.047175407409668,25.945871353149414,180.8413848876953,55.2452507019043,,,24.9833984375,,24.005979537963867,,,70.63349151611328,89.94743347167969,67.3508529663086,78.18975067138672
