,Return,Volatility
XHE,14.225958755507161,20.71861066258541
PSCC,18.08853344769299,18.57974669217091
BMED,,
PBE,9.954988581051838,21.954244098335877
FXH,18.099352327611108,16.9114816646845
HTEC,,
PINK,,
IHI,19.09239947919128,17.915828833520422
CHIH,2.5467868881319466,27.012153656434435
XBI,5.248712329720395,29.066814148962948
EUSC,12.566275725949039,20.98037474896339
JHMH,18.553485439019447,15.709130980546773
GXTG,,
XLV,19.580980470340116,15.656347536508623
SPMV,16.245858704428116,16.397349923278767
PTH,21.797608952830917,24.860290838707016
LVHI,8.861198423303929,14.858323032488213
RODM,5.849905653943788,15.483079503902571
IEIH,17.276760205094853,15.180986151882742
BTEC,10.037839157568751,28.620626825864758
SDG,18.381945795499433,16.38402926979436
ERTH,20.57934172278779,26.397196636096197
KGRN,28.80745920643404,32.71087112132848
WNDY,,
GBLD,,
FRNW,,
TAN,51.44485836731558,45.43310704891161
ACES,36.68795995120227,38.97025852002967
RNRG,11.284227201902741,19.98963406791586
ICLN,34.34425467190376,34.221385602313376
SOLR,,
EWRE,18.00535100403533,21.853502529738027
RYH,19.1222765822052,17.11735107413634
RHS,15.259893082884801,14.185309896018081
IDHD,5.034132869415786,16.006689660384424
UTRN,19.197001404251047,23.04641797671444
MID,,
AMOM,,
ESMV,,
QCLN,57.045889463930365,41.80943592374861
WOOD,22.835846450766105,21.122672518139243
CTEX,,
CLMA,,
DTOX,,
SHFT,,
CNRG,43.746815131720254,37.645136069077864
AQWA,,
CGW,16.465751737593905,17.03755742984538
STNC,,
NULG,23.75280813437155,20.559777100040087
MXDU,13.730604791134216,17.77824328372702
EWJE,3.1213593835205167,15.031917613742305
ADIV,,
JPIN,6.228673116425942,15.477052892862208
IDLV,2.0049450301635297,13.868260526131394
IMFL,,
PUI,8.999497299392779,16.948867534360133
FEDM,,
