Date,IVW,IWD,IWF,RSP,SCHD,USMV,VIG,VTV,VUG,VYM
2012-05-01,15.54703426361084,52.06222915649414,54.751827239990234,40.606014251708984,19.832487106323242,22.95562171936035,45.524112701416016,41.605018615722656,59.10232162475586,33.80775833129883
2012-06-01,16.037921905517578,54.33202362060547,56.054996490478516,41.996864318847656,20.54290199279785,23.74323844909668,46.2502326965332,43.28406524658203,60.61753845214844,35.2127571105957
2012-07-01,16.38788604736328,55.11856460571289,56.8801155090332,42.2246208190918,21.20443344116211,24.249704360961914,47.42484664916992,44.105796813964844,61.54924392700195,36.24906921386719
2012-08-01,16.775630950927734,56.37617111206055,58.730743408203125,43.51914596557617,21.331178665161133,24.208606719970703,48.327396392822266,44.7603759765625,63.64143753051758,36.529327392578125
2012-09-01,17.0538330078125,57.8180046081543,59.34463882446289,44.438907623291016,21.43556022644043,24.438770294189453,48.96738815307617,45.757816314697266,64.73222351074219,37.17097473144531
2012-10-01,16.64225196838379,57.8405647277832,57.82896041870117,44.24541091918945,21.386701583862305,24.31801986694336,48.611576080322266,45.876399993896484,62.91398239135742,37.0944709777832
2012-11-01,16.789682388305664,57.800262451171875,58.83818435668945,44.8097038269043,21.484325408935547,24.400739669799805,49.312747955322266,45.53913116455078,64.18791961669922,36.96810531616211
2012-12-01,16.666458129882812,58.662254333496094,58.48986053466797,45.587730407714844,21.281574249267578,24.020248413085938,49.13951873779297,46.11954116821289,63.855987548828125,36.70792007446289
2013-01-01,17.42820930480957,62.84130859375,61.34272766113281,48.807838439941406,22.663360595703125,25.399227142333984,52.483299255371094,49.459964752197266,67.05844116210938,39.16486358642578
2013-02-01,17.634078979492188,63.603919982910156,62.00775909423828,49.28054428100586,23.140724182128906,26.098974227905273,53.09048080444336,50.108463287353516,67.61793518066406,39.97563934326172
2013-03-01,18.23619270324707,65.8511734008789,64.13758850097656,51.25726318359375,24.087873458862305,27.29021644592285,54.64584732055664,51.824615478515625,69.94615173339844,41.14676284790039
2013-04-01,18.680086135864258,67.16231536865234,65.70748901367188,52.302330017089844,24.96608543395996,28.15438461303711,55.80838394165039,53.28868103027344,71.2856216430664,42.668540954589844
2013-05-01,19.111242294311523,68.9556884765625,66.97872161865234,53.707984924316406,25.316850662231445,27.49380111694336,56.451690673828125,54.665042877197266,72.52558898925781,42.97837829589844
2013-06-01,18.67119026184082,68.30355834960938,65.58126068115234,52.83698272705078,24.93558120727539,27.23459243774414,55.30711364746094,53.789886474609375,70.73351287841797,42.600528717041016
2013-07-01,19.7354736328125,71.59687042236328,68.94417572021484,56.033958435058594,26.260210037231445,28.388425827026367,58.602989196777344,57.01606750488281,74.92842864990234,44.83855438232422
2013-08-01,19.2713680267334,69.24518585205078,68.0053939819336,54.39761734008789,25.33112335205078,27.463720321655273,56.51182174682617,54.91947555541992,73.53900909423828,43.08734130859375
2013-09-01,19.938518524169922,70.66338348388672,70.78426361083984,56.449527740478516,25.837900161743164,27.934480667114258,58.46021270751953,55.84773635864258,76.83545684814453,43.77259063720703
2013-10-01,20.963510513305664,74.1171875,74.15509796142578,59.05674362182617,27.31036949157715,29.49104881286621,61.20343017578125,58.75091552734375,80.36518096923828,46.19364929199219
2013-11-01,21.5302677154541,76.13526916503906,76.1894760131836,60.36834716796875,28.00606918334961,29.88087272644043,62.621490478515625,60.618309020996094,82.27841186523438,47.2598876953125
2013-12-01,22.121679306030273,77.56851959228516,78.06039428710938,61.8884162902832,28.338455200195312,30.084260940551758,63.50772476196289,61.48762893676758,84.7747573852539,47.80450439453125
2014-01-01,21.563589096069336,75.23323822021484,76.07994079589844,60.270599365234375,27.265125274658203,29.340625762939453,60.651344299316406,59.60376739501953,82.49724578857422,46.29402542114258
2014-02-01,22.688444137573242,78.4566879272461,79.98194885253906,63.48723602294922,28.323652267456055,30.62779426574707,63.62152099609375,61.96944808959961,87.12462615966797,47.96535110473633
2014-03-01,22.461225509643555,79.96482849121094,78.89705657958984,63.6267204284668,28.68170166015625,30.73009490966797,63.84217071533203,63.281898498535156,85.4876708984375,48.83969497680664
2014-04-01,22.570520401000977,81.09481811523438,79.2135009765625,64.11771392822266,29.402801513671875,31.298463821411133,64.7720718383789,64.18138885498047,85.77609252929688,50.19061279296875
2014-05-01,23.310827255249023,82.2357177734375,81.6191635131836,65.50032806396484,29.79463005065918,31.65831184387207,65.81195831298828,65.06940460205078,88.83953857421875,50.98493957519531
2014-06-01,23.741924285888672,84.33427429199219,83.17418670654297,67.12802124023438,29.99054527282715,31.889650344848633,66.44270324707031,65.94925689697266,90.71061706542969,51.64688491821289
